Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Volatility,Daily volatility in %,,
Chainlink,01-03-2021,24.6,26.2,26.8,,,,,
Chainlink,02-03-2021,27.1,24.7,27.7,,,,,
Chainlink,03-03-2021,28.3,27.7,30.5,,,,,Data Points
Chainlink,04-03-2021,30.2,28.5,31.5,,,,,
Chainlink,05-03-2021,27.5,29.9,30.6,,,,,Highest price ever
Chainlink,06-03-2021,28.1,27.7,28.2,,,,,Lowest Price ever
Chainlink,07-03-2021,28.2,27.9,28.3,,,,,Standard Deviation
Chainlink,08-03-2021,28.1,28.2,29.1,,,,,Average volatility
Chainlink,09-03-2021,30.9,28.6,31.3,,,,,
Chainlink,10-03-2021,31.2,31.8,32.0,,,,,
Chainlink,11-03-2021,30.0,31.5,31.8,,,,,
Chainlink,12-03-2021,29.9,29.9,30.5,,,,,
Chainlink,13-03-2021,28.2,30.1,30.4,,,,,
Chainlink,14-03-2021,29.7,28.4,30.5,,,,,
Chainlink,15-03-2021,29.2,29.6,30.1,,,,,
Chainlink,16-03-2021,27.4,28.5,29.4,,,,,
Chainlink,17-03-2021,27.8,27.5,28.2,,,,,
Chainlink,18-03-2021,30.8,27.9,31.2,,,,,
Chainlink,19-03-2021,29.7,31.0,31.3,,,,,
Chainlink,20-03-2021,30.1,29.4,30.5,,,,,
Chainlink,21-03-2021,30.1,29.8,31.4,,,,,
Chainlink,22-03-2021,29.5,29.7,30.1,,,,,
Chainlink,23-03-2021,27.6,29.2,29.4,,,,,
Chainlink,24-03-2021,27.1,27.3,27.9,,,,,
Chainlink,25-03-2021,25.0,26.8,27.9,,,,,
Chainlink,26-03-2021,25.9,24.9,26.6,,,,,
Chainlink,27-03-2021,27.2,25.6,27.4,,,,,
Chainlink,28-03-2021,27.1,27.4,27.5,,,,,
Chainlink,29-03-2021,26.5,26.9,27.7,,,,,
Chainlink,30-03-2021,28.0,26.7,28.6,,,,,
Chainlink,31-03-2021,27.8,28.0,28.6,,,,,
Chainlink,01-04-2021,28.6,27.9,28.9,,,,,
Chainlink,02-04-2021,30.1,29.4,31.1,,,,,
Chainlink,03-04-2021,31.8,30.1,32.0,,,,,
Chainlink,04-04-2021,29.7,32.5,33.1,,,,,
Chainlink,05-04-2021,30.6,29.3,31.5,,,,,
Chainlink,06-04-2021,32.5,30.8,32.5,,,,,
Chainlink,07-04-2021,34.4,32.4,34.7,,,,,
Chainlink,08-04-2021,31.8,34.7,35.1,,,,,
Chainlink,09-04-2021,32.8,31.1,32.9,,,,,
Chainlink,10-04-2021,31.6,32.8,33.2,,,,,
Chainlink,11-04-2021,31.6,31.6,32.9,,,,,
Chainlink,12-04-2021,33.9,31.9,34.4,,,,,
Chainlink,13-04-2021,33.3,33.9,34.1,,,,,
Chainlink,14-04-2021,35.3,33.1,35.8,,,,,
Chainlink,15-04-2021,40.1,35.5,41.1,,,,,
Chainlink,16-04-2021,43.5,41.3,44.3,,,,,
Chainlink,17-04-2021,41.7,42.6,43.3,,,,,
Chainlink,18-04-2021,41.5,42.0,44.0,,,,,
Chainlink,19-04-2021,39.1,40.0,40.4,,,,,
Chainlink,20-04-2021,37.5,39.2,42.0,,,,,
Chainlink,21-04-2021,38.6,35.8,39.4,,,,,
Chainlink,22-04-2021,36.6,39.0,39.5,,,,,
Chainlink,23-04-2021,36.2,36.3,40.8,,,,,
Chainlink,24-04-2021,34.0,35.2,35.9,,,,,
Chainlink,25-04-2021,32.1,35.3,35.3,,,,,
Chainlink,26-04-2021,31.2,31.3,33.5,,,,,
Chainlink,27-04-2021,34.4,31.7,35.3,,,,,
Chainlink,28-04-2021,36.5,35.2,37.7,,,,,
Chainlink,29-04-2021,35.9,36.8,37.8,,,,,
Chainlink,30-04-2021,36.3,36.3,37.5,,,,,
Chainlink,01-05-2021,37.7,36.5,38.8,,,,,
Chainlink,02-05-2021,40.8,38.1,41.2,,,,,
Chainlink,03-05-2021,39.3,41.2,41.4,,,,,
Chainlink,04-05-2021,42.0,39.5,42.7,,,,,
Chainlink,05-05-2021,46.5,42.1,48.6,,,,,
Chainlink,06-05-2021,48.8,45.6,51.2,,,,,
Chainlink,07-05-2021,47.5,49.6,49.8,,,,,
Chainlink,08-05-2021,47.9,47.2,52.0,,,,,
Chainlink,09-05-2021,48.6,49.2,50.3,,,,,
Chainlink,10-05-2021,51.2,48.7,52.5,,,,,
Chainlink,11-05-2021,47.3,52.3,53.0,,,,,
Chainlink,12-05-2021,48.0,46.4,48.9,,,,,
Chainlink,13-05-2021,44.1,48.9,49.8,,,,,
Chainlink,14-05-2021,43.4,41.6,45.0,,,,,
Chainlink,15-05-2021,46.8,43.3,47.9,,,,,
Chainlink,16-05-2021,42.1,46.6,47.8,,,,,
Chainlink,17-05-2021,39.9,41.5,44.7,,,,,
Chainlink,18-05-2021,36.4,40.7,40.7,,,,,
Chainlink,19-05-2021,42.8,37.2,44.8,,,,,
Chainlink,20-05-2021,30.2,42.6,43.5,,,,,
Chainlink,21-05-2021,29.9,26.3,33.1,,,,,
Chainlink,22-05-2021,25.3,30.7,32.0,,,,,
Chainlink,23-05-2021,23.6,25.6,26.3,,,,,
Chainlink,24-05-2021,20.2,23.3,24.4,,,,,
Chainlink,25-05-2021,24.7,19.9,26.1,,,,,
Chainlink,26-05-2021,26.9,26.5,27.4,,,,,
Chainlink,27-05-2021,32.1,27.6,33.1,,,,,
Chainlink,28-05-2021,32.1,34.1,35.4,,,,,
